,hle-id,type,segment,activity,value,window
0,0,enter,"('mail income', 'mail valid')","('enter', ('mail income', 'mail valid'))",441,78
1,1,enter,"('begin editing', 'finish editing')","('enter', ('begin editing', 'finish editing'))",168,79
2,2,enter,"('finish pre-check', 'finish editing')","('enter', ('finish pre-check', 'finish editing'))",224,79
3,3,enter,"('begin editing', 'finish pre-check')","('enter', ('begin editing', 'finish pre-check'))",233,79
4,4,enter,"('finish editing', 'finish editing')","('enter', ('finish editing', 'finish editing'))",326,79
5,5,enter,"('begin editing', 'begin editing')","('enter', ('begin editing', 'begin editing'))",48,79
6,6,exit,"('initialize', 'begin editing')","('exit', ('initialize', 'begin editing'))",283,79
7,7,exit,"('begin editing', 'finish editing')","('exit', ('begin editing', 'finish editing'))",168,79
8,8,exit,"('finish pre-check', 'finish editing')","('exit', ('finish pre-check', 'finish editing'))",224,79
9,9,exit,"('begin editing', 'finish pre-check')","('exit', ('begin editing', 'finish pre-check'))",233,79
10,10,exit,"('finish editing', 'finish editing')","('exit', ('finish editing', 'finish editing'))",326,79
11,11,exit,"('begin editing', 'begin editing')","('exit', ('begin editing', 'begin editing'))",46,79
12,12,workload,"('begin editing', 'finish editing')","('workload', ('begin editing', 'finish editing'))",168.0,79
13,13,workload,"('finish pre-check', 'finish editing')","('workload', ('finish pre-check', 'finish editing'))",224.0,79
14,14,workload,"('finish editing', 'initialize')","('workload', ('finish editing', 'initialize'))",38.0,79
15,15,workload,"('begin editing', 'finish pre-check')","('workload', ('begin editing', 'finish pre-check'))",233.0,79
16,16,workload,"('finish editing', 'finish editing')","('workload', ('finish editing', 'finish editing'))",326.0,79
17,17,workload,"('begin editing', 'begin editing')","('workload', ('begin editing', 'begin editing'))",46.0,79
18,18,enter,"('initialize', 'begin editing')","('enter', ('initialize', 'begin editing'))",1235,80
19,19,enter,"('begin editing', 'finish editing')","('enter', ('begin editing', 'finish editing'))",712,80
20,20,enter,"('finish editing', 'create')","('enter', ('finish editing', 'create'))",1145,80
21,21,enter,"('create', 'clear')","('enter', ('create', 'clear'))",861,80
22,22,enter,"('finish pre-check', 'finish editing')","('enter', ('finish pre-check', 'finish editing'))",1029,80
23,23,enter,"('finish editing', 'initialize')","('enter', ('finish editing', 'initialize'))",176,80
24,24,enter,"('begin editing', 'finish pre-check')","('enter', ('begin editing', 'finish pre-check'))",1086,80
25,25,enter,"('finish pre-check', 'initialize')","('enter', ('finish pre-check', 'initialize'))",612,80
26,26,enter,"('finish editing', 'finish editing')","('enter', ('finish editing', 'finish editing'))",1458,80
27,27,enter,"('create', 'initialize')","('enter', ('create', 'initialize'))",314,80
28,28,enter,"('begin editing', 'begin editing')","('enter', ('begin editing', 'begin editing'))",182,80
29,29,exit,"('mail valid', 'initialize')","('exit', ('mail valid', 'initialize'))",1194,80
30,30,exit,"('initialize', 'begin editing')","('exit', ('initialize', 'begin editing'))",1235,80
31,31,exit,"('begin editing', 'finish editing')","('exit', ('begin editing', 'finish editing'))",712,80
32,32,exit,"('finish editing', 'create')","('exit', ('finish editing', 'create'))",1145,80
33,33,exit,"('finish pre-check', 'finish editing')","('exit', ('finish pre-check', 'finish editing'))",1029,80
34,34,exit,"('finish editing', 'initialize')","('exit', ('finish editing', 'initialize'))",176,80
35,35,exit,"('begin editing', 'finish pre-check')","('exit', ('begin editing', 'finish pre-check'))",1086,80
36,36,exit,"('finish pre-check', 'initialize')","('exit', ('finish pre-check', 'initialize'))",612,80
37,37,exit,"('finish editing', 'finish editing')","('exit', ('finish editing', 'finish editing'))",1458,80
38,38,exit,"('create', 'initialize')","('exit', ('create', 'initialize'))",314,80
39,39,exit,"('begin editing', 'begin editing')","('exit', ('begin editing', 'begin editing'))",182,80
40,40,workload,"('initialize', 'begin editing')","('workload', ('initialize', 'begin editing'))",1235.0,80
41,41,workload,"('begin editing', 'finish editing')","('workload', ('begin editing', 'finish editing'))",712.0,80
42,42,workload,"('finish editing', 'create')","('workload', ('finish editing', 'create'))",1145.0,80
43,43,workload,"('finish pre-check', 'finish editing')","('workload', ('finish pre-check', 'finish editing'))",1029.0,80
44,44,workload,"('finish editing', 'initialize')","('workload', ('finish editing', 'initialize'))",176.0,80
45,45,workload,"('finish editing', 'begin editing')","('workload', ('finish editing', 'begin editing'))",177.0,80
46,46,workload,"('begin editing', 'finish pre-check')","('workload', ('begin editing', 'finish pre-check'))",1086.0,80
47,47,workload,"('finish pre-check', 'initialize')","('workload', ('finish pre-check', 'initialize'))",612.0,80
48,48,workload,"('finish editing', 'finish editing')","('workload', ('finish editing', 'finish editing'))",1458.0,80
49,49,workload,"('create', 'initialize')","('workload', ('create', 'initialize'))",314.0,80
50,50,workload,"('begin editing', 'begin editing')","('workload', ('begin editing', 'begin editing'))",182.0,80
